tickerSymbol,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChangePercent,regularMarketPrice,marketState,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPreviousClose,fullExchangeName,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,tradeable,cryptoTradeable,price,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,bid,ask,bidSize,askSize,financialCurrency,regularMarketOpen,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,epsTrailingTwelveMonths,bookValue,priceToBook,displayName,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,marketCap,forwardPE,averageAnalystRating,ipoExpectedDate,ytdReturn,trailingThreeMonthReturns,trailingThreeMonthNavReturns,prevName,nameChangeDate,prevExchange,exchangeTransferDate,newListingDate,prevTicker,tickerChangeDate,underlyingSymbol,openInterest
YTEN,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NCM,"Yield10 Bioscience, Inc.","Yield10 Bioscience, Inc.",finmb_4282854,America/New_York,EDT,-14400000,us_market,False,-4.0590453,2.6,REGULAR,1163169000000.0,4,-0.11000013,1679583379,2.71,NasdaqCM,286238.0,17050.0,0.9699999,0.595092,1.63 - 6.12,-3.52,-0.5751634,1.63,6.12,3.1884,-0.5884001,-0.18454401,2.73205,-0.13205004,-0.048333682,15,0,False,False,2.6,2.67,2.6 - 2.67,2.6,3943.0,2.58,2.7,8.0,11.0,USD,2.66,0.0,,0.0,-2.72,0.89,2.9213483,Yield10 Bioscience,1579132800.0,1678825800.0,1683629940.0,1684152000.0,-1.43,-1.94,-1.3402061,5074080.0,13192608.0,-1.8181819,2.0 - Buy,,,,,,,,,,,,,
YTRA,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NCM,"Yatra Online, Inc.","Yatra Online, Inc.",finmb_25525011,America/New_York,EDT,-14400000,us_market,False,5.757578,1.745,REGULAR,1482157800000.0,4,0.09500003,1679591285,1.65,NasdaqCM,66089.0,119890.0,0.42499995,0.32196966,1.32 - 3.0,-1.255,-0.41833332,1.32,3.0,2.2392,-0.4942001,-0.22070386,2.379565,-0.634565,-0.2666727,15,0,False,False,1.745,1.79,1.64 - 1.79,1.64,49385.0,1.76,1.78,13.0,13.0,INR,1.67,0.0,,0.0,-0.06,13.531,0.12896313,Yatra Online,,1680006600.0,1680006600.0,1680006600.0,0.1,-0.03,-58.166668,58444700.0,109397192.0,17.449999,2.0 - Buy,,,,,,,,,,,,,
YVR,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NCM,Liquid Media Group Ltd.,Liquid Media Group Ltd.,finmb_422708241,America/New_York,EDT,-14400000,us_market,False,-0.4152216,0.1439,REGULAR,744298200000.0,4,-0.00059999526,1679590232,0.1445,NasdaqCM,176967.0,111390.0,0.0039000064,0.027857188,0.14 - 1.25,-1.1061,-0.88487995,0.14,1.25,0.2542,-0.110300004,-0.4339103,0.31625,-0.17234999,-0.5449802,15,0,False,False,0.1439,0.15,0.14 - 0.15,0.14,45967.0,0.1438,0.1439,32.0,8.0,USD,0.14,0.0,,0.0,-0.77,0.302,0.4764901,Liquid Media,1539561600.0,1666098942.0,1680692340.0,1681128000.0,,,,19313300.0,2779184.0,,,,,,,,,,,,,,,
YY,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,JOYY Inc.,JOYY Inc.,finmb_222948413,America/New_York,EDT,-14400000,us_market,False,1.2863884,29.92,REGULAR,1353508200000.0,2,0.37999916,1679591351,29.54,NasdaqGS,691328.0,781950.0,8.540001,0.3994388,21.38 - 44.08,-14.160002,-0.32123414,21.38,44.08,33.7212,-3.801199,-0.11272431,30.1339,-0.21389961,-0.007098305,15,0,False,False,29.92,30.83,29.8806 - 30.83,29.8806,240914.0,30.01,30.06,8.0,8.0,USD,30.08,2.04,18.58385,0.0690589,1.61,74.363,0.40235063,JOYY,1682640000.0,1678928400.0,1685390400.0,1685736000.0,2.25,1.82,16.43956,69634304.0,2083458432.0,13.297778,1.8 - Buy,,,,,,,,,,,,,
Z,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,"Zillow Group, Inc.","Zillow Group, Inc.",finmb_20523038,America/New_York,EDT,-14400000,us_market,False,3.0512486,43.23,REGULAR,1438608600000.0,2,1.2799988,1679591455,41.95,NasdaqGS,3712223.0,2702850.0,17.088,0.6536608,26.142 - 55.84,-12.610001,-0.22582379,26.142,55.84,43.053,0.17699814,0.0041111684,36.252026,6.977974,0.19248508,15,0,False,False,43.23,44.22,42.245 - 44.22,42.245,814187.0,43.29,43.31,8.0,8.0,USD,42.33,0.0,,0.0,-0.37,19.132,2.259565,Zillow,,,,,1.61,0.95,45.505264,170632000.0,10086034432.0,26.850931,2.4 - Buy,,,,,,,,,,,,,
ZAZZT,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NGM,,,,America/New_York,EDT,-14400000,us_market,False,0.0,87359.95,REGULAR,,2,0.0,1679578344,87359.95,NasdaqGM,,,-0.046875,-5.365728e-07,87360.0 - 87360.0,-0.046875,-5.365728e-07,87360.0,87360.0,,,,,,,15,0,False,False,87359.95,87360.0,87360.0 - 87360.0,87360.0,9300.0,62899.2,111821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBRA,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,Zebra Technologies Corporation,Zebra Technologies Corporation,finmb_393488,America/New_York,EDT,-14400000,us_market,False,1.4786054,292.37,REGULAR,682263000000.0,2,4.26001,1679591300,288.11,NasdaqGS,367149.0,290950.0,67.5,0.30017343,224.87 - 440.64,-148.27002,-0.33648786,224.87,440.64,306.3596,-13.9895935,-0.045663964,291.298,1.071991,0.0036800492,15,0,False,False,292.37,295.915,290.0 - 295.915,290.0,111228.0,292.38,292.86,8.0,8.0,USD,290.06,0.0,33.299545,0.0,8.78,53.118,5.5041604,Zebra,,1676554200.0,1682944200.0,1683289800.0,19.39,17.32,16.880486,51404700.0,15029191680.0,15.078391,2.4 - Buy,,,,,,,,,,,,,
ZBZZT,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NGM,,,,America/New_York,EDT,-14400000,us_market,False,0.0,199999.98,REGULAR,,2,0.0,1679578344,199999.98,NasdaqGM,,,-0.015625,-7.8125e-08,200000.0 - 200000.0,-0.015625,-7.8125e-08,200000.0,200000.0,,,,,,,15,0,False,False,199999.98,200000.0,200000.0 - 200000.0,200000.0,16480.0,0.72,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCMD,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NCM,Zhongchao Inc.,Zhongchao Inc.,finmb_634895614,America/New_York,EDT,-14400000,us_market,False,7.9734554,1.2201,REGULAR,1582641000000.0,4,0.09010005,1679588860,1.13,NasdaqCM,56250.0,6080.0,0.6201,1.0335,0.6 - 1.56,-0.3398999,-0.21788456,0.6,1.56,1.12334,0.096760035,0.08613602,1.180895,0.039205074,0.03319946,15,0,False,False,1.2201,1.26,1.17 - 1.26,1.17,20018.0,1.22,1.27,9.0,11.0,USD,1.15,0.0,,0.0,-0.03,1.279,0.9539484,Zhongchao,,1652077804.0,1664533804.0,1664793004.0,,,,19163400.0,31736144.0,,,,,,,,,,,,,,,
ZCZZT,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NGM,,,,America/New_York,EDT,-14400000,us_market,False,0.0,1.09,REGULAR,,4,0.0,1679578344,1.09,NasdaqGM,,,0.0,0.0,1.09 - 1.09,0.0,0.0,1.09,1.09,,,,,,,15,0,False,False,1.09,1.09,1.09 - 1.09,1.09,15300.0,0.72,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZD,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,"Ziff Davis, Inc.","Ziff Davis, Inc.",finmb_121509,America/New_York,EDT,-14400000,us_market,False,1.511042,74.905,REGULAR,932736600000.0,2,1.1149979,1679591453,73.79,NasdaqGS,310149.0,286800.0,8.055,0.12049365,66.85 - 103.58,-28.675003,-0.2768392,66.85,103.58,82.9908,-8.0858,-0.09743008,79.94485,-5.0398483,-0.06304157,15,0,False,False,74.905,75.88,74.375 - 75.88,74.375,53726.0,74.89,75.05,8.0,8.0,USD,74.42,0.0,53.88849,0.0,1.39,40.039,1.8708009,Ziff Davis,1559606400.0,1676554200.0,1683583200.0,1683928800.0,6.86,6.29,11.908585,47260300.0,3540032768.0,10.919096,2.2 - Buy,,,,,"J2 Global, Inc.",2023-03-22,,,,,,,
ZENV,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NCM,Zenvia Inc.,Zenvia Inc.,finmb_224924933,America/New_York,EDT,-14400000,us_market,False,0.0,0.9,REGULAR,1626960600000.0,4,0.0,1679590557,0.9,NasdaqCM,121396.0,83780.0,0.099999964,0.124999955,0.8 - 7.78,-6.88,-0.88431877,0.8,7.78,1.1284,-0.22839999,-0.20241049,1.709315,-0.80931497,-0.47347328,15,0,False,False,0.9,0.94,0.9 - 0.94,0.9,15140.0,0.9,0.94,18.0,40.0,BRL,0.94,0.0,,0.0,-0.23,26.894,0.033464715,Zenvia,,,,,-0.18,-0.41,-2.195122,18042500.0,37575720.0,-4.9999995,3.0 - Hold,2021-07-22,,,,,,,,,,,,
ZEST,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NCM,"Ecoark Holdings, Inc.","Ecoark Holdings, Inc.",finmb_169205176,America/New_York,EDT,-14400000,us_market,False,-4.550442,0.1741,REGULAR,1266330600000.0,4,-0.008300006,1679342405,0.1824,NasdaqCM,526855.0,1089770.0,0.0641,0.58272725,0.11 - 2.8,-2.6259,-0.93782145,0.11,2.8,0.2634,-0.08929999,-0.3390281,1.1166,-0.94250005,-0.84408027,15,0,False,False,0.1741,0.1999,0.1667 - 0.1999,0.1667,611214.0,0.0,0.0,22.0,12.0,USD,0.1995,0.0,,0.0,-0.78,1.294,0.13454404,Ecoark,1608163200.0,1636615800.0,1636615800.0,1636615800.0,,,,37666800.0,7100564.0,,,2021-08-04,,,,,,,,,,,,
ZEUS,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,"Olympic Steel, Inc.","Olympic Steel, Inc.",finmb_333679,America/New_York,EDT,-14400000,us_market,False,1.4111669,49.945,REGULAR,763309800000.0,2,0.6949997,1679590868,49.25,NasdaqGS,134208.0,201560.0,27.324999,1.2080016,22.62 - 58.84,-8.895,-0.15117268,22.62,58.84,46.844,3.100998,0.0661984,33.28835,16.65665,0.5003748,15,0,False,False,49.945,51.39,49.59 - 51.39,49.59,49219.0,49.75,50.3,8.0,10.0,USD,49.59,0.36,6.2120647,0.007309645,8.04,46.358,1.077376,Olympic Steel,1678838400.0,1677250800.0,1683111540.0,1683547200.0,4.28,3.59,13.912256,11129900.0,555882880.0,11.669392,2.0 - Buy,,,,,,,,,,,,,
ZFOX,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NGM,"ZeroFox Holdings, Inc.","ZeroFox Holdings, Inc.",finmb_241412577,America/New_York,EDT,-14400000,us_market,False,16.36363,1.28,REGULAR,1610029800000.0,4,0.17999995,1679591102,1.1,NasdaqGM,58625.0,125540.0,0.32,0.33333334,0.96 - 15.73,-14.45,-0.91862684,0.96,15.73,3.1201,-1.8401,-0.5897567,5.96512,-4.6851196,-0.7854192,15,0,False,False,1.28,1.39,1.16 - 1.39,1.16,144527.0,1.3,1.33,10.0,9.0,USD,1.29,0.0,,0.0,-5.53,4.258,0.3006106,ZeroFox,,,,,-0.38,-0.25,-5.12,118190000.0,151283200.0,-3.368421,2.0 - Buy,,,,,,,,,,,,,
ZFOXW,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,USD,NCM,,"ZeroFox Holdings, Inc.",finmb_241412577,America/New_York,EDT,-14400000,us_market,False,27.375198,0.0791,REGULAR,1659619800000.0,4,0.016999997,1679578400,0.0621,NasdaqCM,6377.0,12350.0,0.035199996,0.8018222,0.0439 - 0.72,-0.6409,-0.89013886,0.0439,0.72,0.1370752,-0.057975203,-0.42294452,0.19360358,-0.11450358,-0.59143317,15,0,False,False,0.0791,0.0791,0.0791 - 0.0791,0.0791,148.0,0.0401,0.0624,8.0,8.0,USD,0.0791,0.0,,0.0,,-3.769,-0.020986998,ZeroFox,,,,,,,,0.0,160933696.0,,,,,,,,,,,,,,,
ZG,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,"Zillow Group, Inc.","Zillow Group, Inc.",finmb_20523038,America/New_York,EDT,-14400000,us_market,False,2.9561453,42.49,REGULAR,1311168600000.0,2,1.2200012,1679591216,41.27,NasdaqGS,651910.0,550480.0,16.280003,0.6211371,26.21 - 54.59,-12.099998,-0.22165228,26.21,54.59,42.1696,0.32040024,0.007597896,35.9465,6.543503,0.18203449,15,0,False,False,42.49,43.35,41.49 - 43.35,41.49,147711.0,42.45,42.5,10.0,8.0,USD,41.49,0.0,,0.0,-0.37,19.132,2.2208865,,,1676498400.0,1683111540.0,1683547200.0,1.61,0.95,44.72632,57494700.0,10076717056.0,26.391306,2.4 - Buy,,,,,,,,,,,,,
ZGEN,en-US,US,ETF,ETF,Delayed Quote,True,HIGH,USD,NGM,The Generation Z ETF,The Gen Z ETF,finmb_1759269350,America/New_York,EDT,-14400000,us_market,False,-2.20825,12.01,REGULAR,1639665000000.0,2,-0.2712,1678475068,12.2812,NasdaqGM,101.0,42.0,2.0404005,0.20466223,9.9696 - 20.17,-8.16,-0.40456122,9.9696,20.17,12.17493,-0.16492939,-0.01354664,12.281302,-0.27130222,-0.022090672,15,0,False,False,12.01,12.01,12.01 - 12.01,12.01,2.0,0.0,0.0,8.0,22.0,,11.69,,,,,,,,,,,,,,,,,,,2021-12-16,16.03865,13.94687,13.94687,,,,,,,,,
ZI,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,ZoomInfo Technologies Inc.,ZoomInfo Technologies Inc.,finmb_656458081,America/New_York,EDT,-14400000,us_market,False,1.0536375,23.7375,REGULAR,1591277400000.0,2,0.24749947,1679591464,23.49,NasdaqGS,5474177.0,7268990.0,3.0175,0.14563224,20.72 - 61.44,-37.7025,-0.61364746,20.72,61.44,25.8161,-2.0786,-0.080515645,34.774174,-11.0366745,-0.31738135,15,0,False,False,23.7375,24.16,23.55 - 24.16,23.55,1224463.0,23.69,23.7,8.0,9.0,USD,23.83,0.0,148.35938,0.0,0.16,5.622,4.2222514,ZoomInfo,,1675719000.0,1682938740.0,1683288000.0,1.15,0.98,24.221937,404291008.0,11452963840.0,20.641304,2.0 - Buy,2020-06-04,,,,,,,,,,,,
